Date,Open,High,Low,Close,Adj Close,Volume
2018-01-19,28.35,28.35,28.35,28.35,27.533136,1720.0
2018-01-22,28.35,28.35,28.35,28.35,27.533136,1585.0
2018-01-23,28.35,28.35,28.35,28.35,27.533136,1450.0
2018-01-24,28.35,28.35,28.35,28.35,27.533136,1315.0
2018-01-25,28.35,28.35,28.35,28.35,27.533136,1180.0
2018-01-26,28.35,28.35,28.35,28.35,27.533136,1045.0
2018-01-29,28.35,28.35,28.35,28.35,27.533136,910.0
2018-01-30,28.35,28.35,28.35,28.35,27.533136,775.0
2018-01-31,28.35,28.35,28.35,28.35,27.533136,640.0
2018-02-01,28.35,28.35,28.35,28.35,27.533136,505.0
2018-02-02,28.35,28.35,28.35,28.35,27.533136,370.0
2018-02-05,28.35,28.35,28.35,28.35,27.533136,235.0
2018-02-06,33.0,33.0,33.0,33.0,32.049152,100.0
2018-02-07,33.0,33.0,33.0,33.0,32.049152,166.66666666666669
2018-02-08,33.0,33.0,33.0,33.0,32.049152,233.33333333333334
2018-02-09,33.0,33.0,33.0,33.0,32.049152,300.0
2018-02-12,33.0,33.0,33.0,33.0,32.049152,366.6666666666667
2018-02-13,33.0,33.0,33.0,33.0,32.049152,433.33333333333337
2018-02-14,33.0,33.0,33.0,33.0,32.049152,500.0
2018-02-15,33.0,33.0,33.0,33.0,32.049152,566.6666666666667
2018-02-16,33.0,33.0,33.0,33.0,32.049152,633.3333333333334
2018-02-20,33.0,33.0,33.0,33.0,32.049152,700.0
2018-02-21,33.0,33.0,33.0,33.0,32.049152,766.6666666666667
2018-02-22,33.0,33.0,33.0,33.0,32.049152,833.3333333333334
2018-02-23,33.0,33.0,33.0,33.0,32.049152,900.0
2018-02-26,33.0,33.0,33.0,33.0,32.049152,966.6666666666667
2018-02-27,33.0,33.0,33.0,33.0,32.049152,1033.3333333333335
2018-02-28,33.0,33.0,33.0,33.0,32.049152,1100.0
2018-03-01,33.0,33.0,33.0,33.0,32.049152,1166.6666666666667
2018-03-02,33.0,33.0,33.0,33.0,32.049152,1233.3333333333335
2018-03-05,31.0,31.0,31.0,31.0,30.106781,1300.0
2018-03-06,30.9,30.9,30.9,30.9,30.009661,300.0
2018-03-07,30.9,30.9,30.9,30.9,30.009661,200.0
2018-03-08,32.0,32.0,32.0,32.0,31.077967,100.0
2018-03-09,32.0,32.0,32.0,32.0,31.077967,150.0
2018-03-12,32.0,32.0,32.0,32.0,31.077967,200.0
2018-03-13,32.0,32.0,32.0,32.0,31.077967,250.0
2018-03-14,32.0,32.0,32.0,32.0,31.077967,300.0
2018-03-15,32.0,32.0,32.0,32.0,31.077967,350.0
2018-03-16,32.366001,32.366001,32.366001,32.366001,31.433422,400.0
2018-03-19,32.366001,32.366001,32.366001,32.366001,31.433422,366.6666666666667
2018-03-20,32.366001,32.366001,32.366001,32.366001,31.433422,333.3333333333333
2018-03-21,32.366001,32.366001,32.366001,32.366001,31.433422,300.0
2018-03-22,32.366001,32.366001,32.366001,32.366001,31.433422,266.66666666666663
2018-03-23,32.366001,32.366001,32.366001,32.366001,31.433422,233.33333333333331
2018-03-26,32.366001,32.366001,32.366001,32.366001,31.433422,200.0
2018-03-27,32.366001,32.366001,32.366001,32.366001,31.433422,166.66666666666666
2018-03-28,32.366001,32.366001,32.366001,32.366001,31.433422,133.33333333333331
